character	index	digits	pdf_page
一	1	1	9
乙	2	5	9
二	3	11	9
十	4	12	9
丁	5	12	9
厂	6	13	9
七	7	15	9
卜	8	24	9
八	9	34	9
人	10	34	9
入	11	34	9
儿	12	35	9
匕	13	35	9
几	14	35	9
九	15	35	9
刁	16	51	9
了	17	52	9
刀	18	53	9
力	19	53	9
乃	20	53	9
又	21	54	9
三	22	111	9
干	23	112	9
于	24	112	10
亏	25	115	10
工	26	121	10
土	27	121	10
士	28	121	10
才	29	123	10
下	30	124	10
寸	31	124	10
大	32	134	10
丈	33	134	10
与	34	151	10
万	35	153	10
上	36	211	10
小	37	234	10
口	38	251	10
山	39	252	10
巾	40	252	10
千	41	312	10
乞	42	315	10
川	43	322	10
亿	44	325	10
个	45	342	10
夕	46	354	11
久	47	354	11
么	48	354	11
勺	49	354	11
凡	50	354	11
丸	51	354	11
及	52	354	11
广	53	413	11
亡	54	415	11
门	55	425	11
丫	56	432	11
义	57	434	11
之	58	454	11
尸	59	513	11
己	60	515	11
已	61	515	11
巳	62	515	11
弓	63	515	11
子	64	521	11
卫	65	521	11
也	66	525	11
女	67	531	11
刃	68	534	11
飞	69	534	11
习	70	541	12
叉	71	544	12
马	72	551	12
乡	73	553	12
丰	74	1112	12
王	75	1121	12
开	76	1132	12
井	77	1132	12
天	78	1134	12
夫	79	1134	12
元	80	1135	12
无	81	1135	12
云	82	1154	12
专	83	1154	12
丐	84	1215	12
扎	85	1215	12
艺	86	1225	12
木	87	1234	12
五	88	1251	12
支	89	1254	12
厅	90	1312	12
不	91	1324	13
犬	92	1344	13
太	93	1344	13
区	94	1345	13
历	95	1353	13
歹	96	1354	13
友	97	1354	13
尤	98	1354	13
匹	99	1355	13
车	100	1512	13
巨	101	1515	13
牙	102	1523	13
屯	103	1525	13
戈	104	1534	13
比	105	1535	13
互	106	1551	13
切	107	1553	13
瓦	108	1554	13
止	109	2121	13
少	110	2343	13
曰	111	2511	13
日	112	2511	13
中	113	2512	13
贝	114	2534	14
冈	115	2534	14
内	116	2534	14
水	117	2534	14
见	118	2535	14
午	119	3112	14
牛	120	3112	14
手	121	3112	14
气	122	3115	14
毛	123	3115	14
壬	124	3121	14
升	125	3132	14
夭	126	3134	14
长	127	3154	14
仁	128	3211	14
什	129	3212	14
片	130	3215	14
仆	131	3224	14
化	132	3235	14
仇	133	3235	14
币	134	3252	14
仍	135	3253	14
仅	136	3254	14
斤	137	3312	15
爪	138	3324	15
反	139	3354	15
介	140	3432	15
父	141	3434	15
从	142	3434	15
仑	143	3435	15
今	144	3445	15
凶	145	3452	15
分	146	3453	15
乏	147	3454	15
公	148	3454	15
仓	149	3455	15
月	150	3511	15
氏	151	3515	15
勿	152	3533	15
欠	153	3534	15
风	154	3534	15
丹	155	3541	15
匀	156	3541	15
乌	157	3551	15
勾	158	3554	16
凤	159	3554	16
六	160	4134	16
文	161	4134	16
亢	162	4135	16
方	163	4153	16
火	164	4334	16
为	165	4354	16
斗	166	4412	16
忆	167	4425	16
计	168	4512	16
订	169	4512	16
户	170	4513	16
认	171	4534	16
冗	172	4535	16
讥	173	4535	16
心	174	4544	16
尺	175	5134	16
引	176	5152	16
